"UniqueSite","grazed_mean","ungrazed_mean","grazed_sd","ungrazed_sd","grazed_n","ungrazed_n","yi","vi","Study","higher.taxa","taxa","FG","measure","yr.grazed","previously.grazed"
"1783-Invertebrate-Arthropoda-InvertebrateHerbivorous-nest.abd",7.9445,2.4176,3.08968692791033,1.10010774364514,5,4.6,-2.09632139990659,0.646274815374198,"1783","Invertebrate","Arthropoda","InvertebrateHerbivorous","nest.abd",59,"1"
"1808-Vertebrate-Mammalia-VertebrateHerbivorous-abundance",0.570869565217391,0.39304347826087,0.222116665132631,0.122704008332338,10,10,-0.949072551716353,0.222518467710535,"1808","Vertebrate","Mammalia","VertebrateHerbivorous","abundance",15,"1"
"1808-Vertebrate-Reptilia-VertebrateOmnivorous-abundance",1.066,1.496,0.254192885125388,0.319192885125388,10,10,1.42719717712234,0.25092229455965,"1808","Vertebrate","Reptilia","VertebrateOmnivorous","abundance",2,"1"
"1808-Vertebrate-Reptilia-VertebratePredator-abundance",0.547241379310345,0.491034482758621,0.189219537796587,0.154577986437444,10,10,-0.311550531949144,0.202426593348945,"1808","Vertebrate","Reptilia","VertebratePredator","abundance",44,"1"
"1860-Vertebrate-Reptilia-VertebratePredator-burrow.density",0.582,0.626,0.10042907945411,0.0857321409974112,6,6,0.434836739779268,0.341211791260911,"1860","Vertebrate","Reptilia","VertebratePredator","burrow.density",44,"1"
"1926-Invertebrate-Arthropoda-InvertebratePollinator-abundance",26.8125,33.065,23.012956133448,23.012956133448,24,24,0.267236689525388,0.0840772442523801,"1926","Invertebrate","Arthropoda","InvertebratePollinator","abundance",NA,"0"
"1991-Invertebrate-Arthropoda-InvertebratePollinator-density",13.391,28,11.8409080310591,25.6941055760219,23,12.5,0.799840327888926,0.132488747490938,"1991","Invertebrate","Arthropoda","InvertebratePollinator","density",1,"1"
"202-Vertebrate-Mammalia-VertebrateHerbivorous-scat density",0.0533333333333333,0.156333333333333,0.0533333333333333,0.0773333333333333,16,16,1.51144655151886,0.160694854345285,"202","Vertebrate","Mammalia","VertebrateHerbivorous","scat density",1,"1"
"277-Invertebrate-Arthropoda-InvertebratePollinator-abundance",17,17.4,4.75034081584875,0,11,7,0.101425683599451,0.234051988468834,"277","Invertebrate","Arthropoda","InvertebratePollinator","abundance",1,"1"
"348-Invertebrate-Mollusca-InvertebrateHerbivorous-density",32.9,57.3,29.698484809835,63.6396103067893,18,18,0.480420128328992,0.114316715273662,"348","Invertebrate","Mollusca","InvertebrateHerbivorous","density",41,"1"
"355-Vertebrate-Aves-VertebrateOmnivorous-number of territories",4.38,6.22,3.17679083352996,3.6149688795341,30,30,0.533681651618685,0.0690401342106204,"355","Vertebrate","Aves","VertebrateOmnivorous","number of territories",13,"1"
"373-Vertebrate-Mammalia-VertebrateHerbivorous-abundance",0.106,5.97,2.6400333331229,51.905177969062,11,11,0.153492539075018,0.182353635444357,"373","Vertebrate","Mammalia","VertebrateHerbivorous","abundance",13,"1"
"409-Vertebrate-Aves-VertebratePredator-density",12.75,41.175,17.46,28.098167200015,16,30,1.11813095382088,0.109422646701729,"409","Vertebrate","Aves","VertebratePredator","density",13,"1"
"5-Invertebrate-Arthropoda-InvertebrateParasitic-abundance",36.4,58.95,19.0918830920368,28.1724687777152,18,15,0.931029888920103,0.135355807889837,"5","Invertebrate","Arthropoda","InvertebrateParasitic","abundance",5,"1"
"5-Invertebrate-Arthropoda-InvertebratePredator-abundance",41.95,71.4,20.5768073325285,29.402401609374,18,15,1.1514329978717,0.142310069928098,"5","Invertebrate","Arthropoda","InvertebratePredator","abundance",5,"1"
"589-Vertebrate-Mammalia-VertebrateHerbivorous-trapped.individuals",1.22490909090909,1.65045454545455,1.04818181818182,1.04981818181818,4,4,0.352373714268679,0.507760452156719,"589","Vertebrate","Mammalia","VertebrateHerbivorous","trapped.individuals",51,"1"
"603-Vertebrate-Mammalia-VertebrateHerbivorous-trapped.individuals",1.37666666666667,11.2983333333333,1.12548754867489,3.49348353684717,5,5,3.45097926024239,0.995462892731155,"603","Vertebrate","Mammalia","VertebrateHerbivorous","trapped.individuals",6,"1"
"611-Vertebrate-Mammalia-VertebrateHerbivorous-trapped.individuals",0.98,1.76,0.24,0.94,4,4,0.987647138591515,0.560965429398,"611","Vertebrate","Mammalia","VertebrateHerbivorous","trapped.individuals",30,"1"
"619-Vertebrate-Amphibians-VertebratePredator-trapped.individuals",0.019,0.041,0.0245,0.01,4,4,1.02127873340478,0.565188140706554,"619","Vertebrate","Amphibians","VertebratePredator","trapped.individuals",11,"1"
"718-Vertebrate-Mammalia-VertebrateHerbivorous-scat density",0.0192,0.0068,0.0165095608663586,0.00538887743412299,6,6,-0.931749072910931,0.369506513952932,"718","Vertebrate","Mammalia","VertebrateHerbivorous","scat density",30,"1"
"769-Vertebrate-Mammalia-VertebrateHerbivorous-abundance",0.92,1.13,0.692820323027551,1.55884572681199,12,12,0.168080712852586,0.167255231792355,"769","Vertebrate","Mammalia","VertebrateHerbivorous","abundance",2,"1"
"8-Invertebrate-Arthropoda-InvertebratePollinator-abundance",20.9,53.65,7.89960442047575,32.0883156304596,6,6,1.29325537849223,0.403021228083295,"8","Invertebrate","Arthropoda","InvertebratePollinator","abundance",5,"1"
"830-Invertebrate-Arthropoda-InvertebratePredator-abundance",42.65,45.3,20.8134571851963,23.5520699727221,30,30,0.117685540808585,0.0667820823876284,"830","Invertebrate","Arthropoda","InvertebratePredator","abundance",NA,"0"
"848-Vertebrate-Mammalia-VertebrateHerbivorous-abundance",17.32,11.296,7.28,4.992,4,4,-0.838326004940217,0.543924405659939,"848","Vertebrate","Mammalia","VertebrateHerbivorous","abundance",NA,"0"
"857-Invertebrate-Arthropoda-InvertebrateParasitic-abundance",8.63333333333333,4.2,7.800284895082,6.27185069266729,10,10,-0.599872369959187,0.208996171506011,"857","Invertebrate","Arthropoda","InvertebrateParasitic","abundance",NA,"0"
"892-Invertebrate-Arthropoda-InvertebratePollinator-density",7.06166666666667,9.54,6.11,7.32666666666667,4,4,0.319123077014225,0.506364971142689,"892","Invertebrate","Arthropoda","InvertebratePollinator","density",NA,"0"
"929-Vertebrate-Reptilia-VertebrateOmnivorous-abundance",0.0952380953333333,0.238095238333333,0.251976315591461,0.629940788978653,7,7,0.278700076495002,0.288488347594226,"929","Vertebrate","Reptilia","VertebrateOmnivorous","abundance",28,"1"
"929-Vertebrate-Reptilia-VertebratePredator-abundance",0.674603174722222,0.936507936555556,0.699757259825813,0.82253634940378,7,7,0.321007986129458,0.289394504541389,"929","Vertebrate","Reptilia","VertebratePredator","abundance",28,"1"
"931-Invertebrate-Arthropoda-InvertebrateParasitic-count",7.213114754,51.14754098,3.70806796054226,29.6702005385875,2,2,1.17235494924041,1.17180201587606,"931","Invertebrate","Arthropoda","InvertebrateParasitic","count",NA,"0"
"962-Invertebrate-Arthropoda-InvertebrateParasitic-density",27.3714285714286,38.2071428571429,128.491403667041,181.221366492667,72,72,0.0686149800625807,0.0277941250537812,"962","Invertebrate","Arthropoda","InvertebrateParasitic","density",20,"1"
"977-Vertebrate-Mammalia-VertebrateHerbivorous-scat density",19.6111111133333,14.5,29.326666666,23.325333334,36,36,-0.190822487628434,0.0558084251512827,"977","Vertebrate","Mammalia","VertebrateHerbivorous","scat density",NA,"0"
