"UniqueSite","grazed_mean","ungrazed_mean","grazed_se","ungrazed_se","grazed_n","ungrazed_n","dummyN","yi","vi","Study","taxa","measure","yr.grazed","previously.grazed"
"1777-Plants-debris",3.348,39.657,1.03,5.1495,20,20,1,2.47190432463814,0.111507555332246,"1777","Plants","debris",NA,"0"
"1788-AMF-diversity",12.587,12.755,0,0,45,45,1,0.013258816284407,0,"1788","AMF","diversity",NA,"0"
"1788-AMF-MycorrhizaColonize",64.795,62.466,2.876,2.876,45,45,1,-0.036606031166707,0.00408990745160926,"1788","AMF","MycorrhizaColonize",NA,"0"
"1859-Plants-abundance",10.85,12.075,2.925,3.35,101.5,88.5,1,0.106972119552168,0.149645118688204,"1859","Plants","abundance",61,"1"
"1893-Plants-abundance",5.26333333333333,19.4566666666667,1.28508045463137,2.95208061898723,26,82.5,1,1.30742523094815,0.0826334671399991,"1893","Plants","abundance",NA,"0"
"1895-Plants-abundance",41.069,70.464,14.346,12.236,20,20,1,0.539848362101179,0.152174627277344,"1895","Plants","abundance",NA,"0"
"1901-Plants-diversity",60.577,57.692,1.854,8.139,5,4,1,-0.0487967673574511,0.0208393574383659,"1901","Plants","diversity",NA,"0"
"1914-Plants-diversity",31.3,24.948,2,2.681,12,10,1,-0.226824438882231,0.0156313332087852,"1914","Plants","diversity",NA,"0"
"1926-Plants-abundance",4.63,16.51,1.07,1.07,24,24,1,1.27140938983389,0.0576081420453201,"1926","Plants","abundance",NA,"0"
"1926-Plants-debris",0.37,1.5,0.07,0.07,24,24,1,1.39971738145203,0.0379703270838406,"1926","Plants","debris",NA,"0"
"1926-Plants-diversity",34.63,31.38,2.13,2.13,24,24,1,-0.0985496111094441,0.00839052829903535,"1926","Plants","diversity",NA,"0"
"197-Plants-abundance",182.5,186.5,42.5,40,4,4,1,0.0216810660613239,0.100232037524947,"197","Plants","abundance",2,"1"
"2117-Plants-diversity",1.07,0.886,0.109183673,0.091326531,30,30,1,-0.188696976850871,0.0210372679341324,"2117","Plants","diversity",NA,"0"
"3027-Plants-abundance",5.6,7.8,0.49,0.31,5,5,1,0.331357135954443,0.00923580292570677,"3027","Plants","abundance",NA,"0"
"3027-Plants-diversity",14,19.6,1.48,2.28,5,5,1,0.336472236621213,0.0247073719283632,"3027","Plants","diversity",NA,"0"
"3118-plants-abundance",3.5,4.63,0.38,0.42,30,30,1,0.279793899602775,0.0200165568410982,"3118","plants","abundance",12,"1"
"3118-plants-diversity",0.57,0.37,0.08,0.05,30,30,1,-0.432133355190326,0.0379598734768309,"3118","plants","diversity",12,"1"
"3202--abundance",1.46,8.38,0.46,0.8,12,12,1,1.74741147877375,0.10838179678863,"3202","","abundance",NA,"0"
"3202--debris",21.2,4.69,18.7,1.17,12,12,1,-1.50856859921978,0.840290897392473,"3202","","debris",NA,"0"
"3208--abundance",79.1284,134.7935,11.5597,13.8991,50,50,1,0.532672128205676,0.0319741695790014,"3208","","abundance",10,"1"
"3208--diversity",10.6416,11.6386,1.1339,0.8786,50,50,1,0.0895563116075752,0.0170524210176972,"3208","","diversity",10,"1"
"3341-Plants-abundance",187.88,180.33,3.25,6.51,6,6,1,-0.0410149554396139,0.00160247516814009,"3341","Plants","abundance",NA,"0"
"3456-Plants-abundance",23.7666666666667,38.0333333333333,2.23333333333333,7.13333333333333,9,9,1,0.47017892944778,0.0440069943029528,"3456","Plants","abundance",NA,"0"
"3456-Plants-debris",16.7,63.9,4.8,9.1,9,9,1,1.34191064196078,0.102893829237689,"3456","Plants","debris",NA,"0"
"348-Plants-abundance",1503,2602,175,368,18,18,1,0.548817269319476,0.0335591809761703,"348","Plants","abundance",2,"1"
"3484-Plants-abundance",39,49.6,7.3,8.2,20,20,1,0.240429187601235,0.0623677160919517,"3484","Plants","abundance",30,"1"
"3490--abundance",204,237.2,28.68,22.81,10,10,1,0.150783673279354,0.029012485068003,"3490","","abundance",2,"1"
"3491--abundance",830.4816667,845.4283333,17.95665233,8.803936777,6,6,1,0.0178375484440568,0.000575952402344396,"3491","","abundance",1,"1"
"374-Plants-abundance",12.2666666666667,17.0333333333333,2.06666666666667,1.96666666666667,9,5,1,0.328286652034773,0.0417159088717527,"374","Plants","abundance",1,"1"
"397-Plants-abundance",9.6,27.4,1.7,1.5,30,34,1,1.04877991492023,0.0343554700218593,"397","Plants","abundance",19,"1"
"402-Plants-abundance",22.3,30.2,2.5,2.8,8,8,1,0.303255245914751,0.0211642334116143,"402","Plants","abundance",44,"1"
"422-Plants-abundance",22.4,30.1,2.34,2.8,12,12,1,0.295464212893836,0.0195661131120241,"422","Plants","abundance",41,"1"
"444-Plants-abundance",34.6,49.2,5.3,8.2,5,5,1,0.352039941434584,0.0512416422570454,"444","Plants","abundance",39,"1"
"46-Plants-abundance",9.5,37.6,4.94974746830583,11.0308657865101,2,2,1,1.37571225178935,0.35753650076682,"46","Plants","abundance",13,"1"
"5-Plants-diversity",12.25,12.5,1.45,2.15,18,15,1,0.0202027073175195,0.0435948288213244,"5","Plants","diversity",5,"1"
"533-Plants-diversity",14.8,7,2.6,1.2,5,5,1,-0.748717031714756,0.060249698126146,"533","Plants","diversity",70,"1"
"55-Plants-abundance",77,77.2,2.1,2.5,12,12,1,0.00259403517704675,0.00179248752365419,"55","Plants","abundance",3,"1"
"60-AMF-MycorrhizaColonize",1141.33333333333,1727.25,54.3333333333333,79.75,15,15,1,0.414333378775381,0.00439807157353911,"60","AMF","MycorrhizaColonize",2,"1"
"611-Plants-abundance",2.18,4.49,0.34,0.6225,4,4,1,0.722527824953165,0.0435459966395066,"611","Plants","abundance",30,"1"
"73-Plants-abundance",11.57,12.86,1.11,1.68,36,36,1,0.105706177603888,0.0262702476916132,"73","Plants","abundance",6,"1"
"769-Plants-abundance",37.8,36.8,1,1,12,12,1,-0.0268112574506568,0.00143828997483067,"769","Plants","abundance",2,"1"
"769-Plants-diversity",7.9,8.2,0.3,0.4,12,12,1,0.0372713947972314,0.00382161258077187,"769","Plants","diversity",2,"1"
"857-Plants-abundance",47.45,50.775,3.30458015487596,3.63661930919364,10,10,1,0.0677275824105114,0.00997995105404584,"857","Plants","abundance",NA,"0"
"857-Plants-diversity",26.3,16.8,1.99223492590608,1.61276160668587,10,10,1,-0.448190052774506,0.0149536809023802,"857","Plants","diversity",NA,"0"
"874-Plants-abundance",32.4,61.6,5.8,6.25,5,5,1,0.642503447741191,0.0423397623325557,"874","Plants","abundance",NA,"0"
"879-Plants-abundance",22.25,27,2.475,3.625,10,10,1,0.19349485739208,0.0303989863941054,"879","Plants","abundance",NA,"0"
"883-Plants-abundance",33.1766666666667,39.85,1.83,1.89,24,24,1,0.183275587646362,0.00529194406966144,"883","Plants","abundance",NA,"0"
"892-Plants-abundance",4207.26,3402.77333333333,1087.60666666667,884.613333333333,4,4,1,-0.212220819052337,0.134409468779202,"892","Plants","abundance",NA,"0"
"929-Plants-abundance",7.5,17.2,1.2,5.5,14,14,1,0.830006363277143,0.127851216873986,"929","Plants","abundance",28,"1"
"929-Plants-debris",31.1,20.4,4.4,2.5,14,14,1,-0.421672918335018,0.0350345978526702,"929","Plants","debris",28,"1"
"929-Plants-diversity",19.1,18,1.15,0.95,14,14,1,-0.0593165771564196,0.00641066857565971,"929","Plants","diversity",28,"1"
"977-Plants-diversity",16.92,16.33,2.19,2.45,36,36,1,-0.0354924471957037,0.0392619906704633,"977","Plants","diversity",NA,"0"
