uniqueID,Higher.Taxa,Taxa,Detailed.Taxa,Genus,Species,Functional.Group,siteID,year,replicate,grazing.compare,grazing.reduced,last.grazed,yr.grazed,grazing.estimate,grazing.value,Status,Estimate,estimate.simplified,Stat,Value
94,Plant,Plants,,,,Producer,Meggernie,1991,15,grazed,grazed,0,0,deer per km2,15,,biomass,abundance,se,0.2
94,Plant,Plants,,,,Producer,Meggernie,1991,15,grazed,grazed,0,0,deer per km2,15,,biomass,abundance,mean,0.5
94,Plant,Plants,,,,Producer,Rannoch,1991,15,grazed,grazed,0,0,deer per km2,15,,biomass,abundance,se,0.2
94,Plant,Plants,,,,Producer,Rannoch,1991,15,grazed,grazed,0,0,deer per km2,15,,biomass,abundance,mean,0.3
94,Plant,Plants,,,,Producer,Rannoch,1991,15,ungrazed,ungrazed,1,1,deer per km2,0,,biomass,abundance,mean,1.9
94,Plant,Plants,,,,Producer,Rannoch,1991,15,ungrazed,ungrazed,1,1,deer per km2,0,,biomass,abundance,se,0.2
94,Plant,Plants,,,,Producer,Tyndrum,1991,15,ungrazed,ungrazed,1,1,deer per km2,0,,biomass,abundance,se,0.1
94,Plant,Plants,,,,Producer,Tyndrum,1991,15,grazed,grazed,0,0,deer per km2,13,,biomass,abundance,se,0.03
94,Plant,Plants,,,,Producer,Tyndrum,1991,15,grazed,grazed,0,0,deer per km2,13,,biomass,abundance,mean,0.2
94,Plant,Plants,,,,Producer,Tyndrum,1991,15,ungrazed,ungrazed,1,1,deer per km2,0,,biomass,abundance,mean,1
106,Lichen,Lichen,,,,Producer,multisite,1991,10,grazed,grazed,40,40,density (/km2),5 to 25,,biomass (g /m2),abundance,mean,86
106,Lichen,Lichen,,,,Producer,multisite,1991,10,ungrazed,ungrazed,40,40,density (/km2),5 to 25,,biomass (g /m2),abundance,se,130
106,Lichen,Lichen,,,,Producer,multisite,1991,10,ungrazed,ungrazed,40,40,density (/km2),5 to 25,,biomass (g /m2),abundance,mean,790
106,Lichen,Lichen,,,,Producer,multisite,1991,10,grazed,grazed,40,40,density (/km2),5 to 25,,biomass (g /m2),abundance,se,16
106,Plant,Plants,,,,Producer,multisite,1991,10,grazed,grazed,40,40,density (/km2),5 to 25,,biomass (g /m2),abundance,se,13
106,Plant,Plants,,,,Producer,multisite,1991,10,ungrazed,ungrazed,40,40,density (/km2),5 to 25,,biomass (g /m2),abundance,se,4
106,Plant,Plants,,,,Producer,multisite,1991,10,ungrazed,ungrazed,40,40,density (/km2),5 to 25,,biomass (g /m2),abundance,mean,7
106,Plant,Plants,,,,Producer,multisite,1991,10,grazed,grazed,40,40,density (/km2),5 to 25,,biomass (g /m2),abundance,mean,21
106,Plant,Plants,,,,Producer,multisite,1991,10,ungrazed,ungrazed,40,40,density (/km2),5 to 25,,biomass (g /m2),abundance,mean,38
106,Plant,Plants,,,,Producer,multisite,1991,10,ungrazed,ungrazed,40,40,density (/km2),5 to 25,,biomass (g /m2),abundance,se,12
106,Plant,Plants,,,,Producer,multisite,1991,10,grazed,grazed,40,40,density (/km2),5 to 25,,biomass (g /m2),abundance,se,4
106,Plant,Plants,,,,Producer,multisite,1991,10,grazed,grazed,40,40,density (/km2),5 to 25,,biomass (g /m2),abundance,mean,14
121,Plant,Plants,,,,Producer,JunnerKoeland,2000,5,grazed,grazed,0,0,cattle per ha,0.4,,biomass (g/m2),abundance,se,43
121,Plant,Plants,,,,Producer,JunnerKoeland,2000,5,ungrazed,ungrazed,6,6,cattle per ha,0.4,,biomass (g/m2),abundance,se,115
121,Plant,Plants,,,,Producer,JunnerKoeland,2000,5,ungrazed,ungrazed,6,6,cattle per ha,0.4,,biomass (g/m2),abundance,mean,718
121,Plant,Plants,,,,Producer,JunnerKoeland,2000,5,grazed,grazed,0,0,cattle per ha,0.4,,biomass (g/m2),abundance,mean,734
149,Plant,Plants,,,,Producer,Multisite,1993,10,ungrazed,ungrazed,,NA,,,,shrub abundance,abundance,mean,2.95
149,Plant,Plants,,,,Producer,Multisite,1993,10,ungrazed,ungrazed,,NA,,,,shrub abundance,abundance,se,0.51
149,Plant,Plants,,,,Producer,Multisite,1993,10,grazed,grazed,,NA,,,,shrub abundance,abundance,mean,0.09
149,Plant,Plants,,,,Producer,Multisite,1993,10,grazed,grazed,,NA,,,,shrub abundance,abundance,se,0.04
149,Plant,Plants,,,,Producer,Multisite,1993,10,grazed,grazed,,NA,,,,tree abundance,abundance,mean,0.98
149,Plant,Plants,,,,Producer,Multisite,1993,10,ungrazed,ungrazed,,NA,,,,tree abundance,abundance,mean,0.72
149,Plant,Plants,,,,Producer,Multisite,1993,10,ungrazed,ungrazed,,NA,,,,tree abundance,abundance,se,0.14
149,Plant,Plants,,,,Producer,Multisite,1993,10,grazed,grazed,,NA,,,,tree abundance,abundance,se,0.24
149,Plant,Plants,,,,Producer,Multisite,1993,10,ungrazed,ungrazed,,NA,,,,understorey percent cover,abundance,se,3.34
149,Plant,Plants,,,,Producer,Multisite,1993,10,ungrazed,ungrazed,,NA,,,,understorey percent cover,abundance,mean,59.53
149,Plant,Plants,,,,Producer,Multisite,1993,10,grazed,grazed,,NA,,,,understorey percent cover,abundance,se,1.28
149,Plant,Plants,,,,Producer,Multisite,1993,10,grazed,grazed,,NA,,,,understorey percent cover,abundance,mean,5.32
197,Plant,Plants,,,,Producer,bush,2001,4,grazed,grazed,0,0,,,,ANPP,abundance,se,12
197,Plant,Plants,,,,Producer,bush,2001,4,ungrazed,ungrazed,2,2,,,,ANPP,abundance,mean,122
197,Plant,Plants,,,,Producer,bush,2001,4,grazed,grazed,0,0,,,,ANPP,abundance,mean,63
197,Plant,Plants,,,,Producer,bush,2001,4,ungrazed,ungrazed,2,2,,,,ANPP,abundance,se,24
197,Plant,Plants,,,,Producer,glade,2001,4,ungrazed,ungrazed,2,2,,,,ANPP,abundance,mean,251
197,Plant,Plants,,,,Producer,glade,2001,4,ungrazed,ungrazed,2,2,,,,ANPP,abundance,se,56
197,Plant,Plants,,,,Producer,glade,2001,4,grazed,grazed,0,0,,,,ANPP,abundance,se,73
197,Plant,Plants,,,,Producer,glade,2001,4,grazed,grazed,0,0,,,,ANPP,abundance,mean,302
228,Plant,Plants,,,,Producer,high site,,4,high,high,0,0,stocking rate / distance from water,0.09,,percent cover,abundance,se,0.535
228,Plant,Plants,,,,Producer,high site,,4,high,high,0,0,stocking rate / distance from water,0.09,,percent cover,abundance,mean,1.51
228,Plant,Plants,,,,Producer,low site,,4,low,low,0,0,stocking rate / distance from water,0.01,,percent cover,abundance,se,0.685
228,Plant,Plants,,,,Producer,low site,,4,low,low,0,0,stocking rate / distance from water,0.01,,percent cover,abundance,mean,2.82
285,Plant,Plants,,,,Producer,LTC,2003,5,long-term grazing,grazed,0,0,years of grazing (cattle),10,,flower abundance,fitness,se,0.049058972
285,Plant,Plants,,,,Producer,LTC,2003,5,long-term grazing,grazed,0,0,years of grazing (cattle),10,,flower abundance,fitness,mean,0.567092905
285,Plant,Plants,,,,Producer,LTC,2003,5,long-term grazing,grazed,0,0,years of grazing (cattle),10,,root abundance,abundance,mean,0.236854984
285,Plant,Plants,,,,Producer,LTC,2003,5,long-term grazing,grazed,0,0,years of grazing (cattle),10,,root abundance,abundance,se,0.063591485
285,Plant,Plants,,,,Producer,LTS,2003,5,long-term grazing,grazed,0,0,years of grazing (sheep),10,,flower abundance,fitness,mean,0.549833997
285,Plant,Plants,,,,Producer,LTS,2003,5,long-term grazing,grazed,0,0,years of grazing (sheep),10,,flower abundance,fitness,se,0.031783709
285,Plant,Plants,,,,Producer,LTS,2003,5,long-term grazing,grazed,0,0,years of grazing (sheep),10,,root abundance,abundance,mean,0.340739612
285,Plant,Plants,,,,Producer,LTS,2003,5,long-term grazing,grazed,0,0,years of grazing (sheep),10,,root abundance,abundance,se,0.020100288
285,Plant,Plants,,,,Producer,RC,2003,5,recently grazed,grazed,0,0,years of grazing (cattle),3,,flower abundance,fitness,mean,0.475020813
285,Plant,Plants,,,,Producer,RC,2003,5,recently grazed,grazed,0,0,years of grazing (cattle),3,,flower abundance,fitness,se,0.090927103
285,Plant,Plants,,,,Producer,RC,2003,5,recently grazed,grazed,0,0,years of grazing (cattle),3,,root abundance,abundance,mean,0.345246539
285,Plant,Plants,,,,Producer,RC,2003,5,recently grazed,grazed,0,0,years of grazing (cattle),3,,root abundance,abundance,se,0.080219063
285,Plant,Plants,,,,Producer,RS,2003,5,recently grazed,grazed,0,0,years of grazing (sheep),3,,flower abundance,fitness,mean,0.171504259
285,Plant,Plants,,,,Producer,RS,2003,5,recently grazed,grazed,0,0,years of grazing (sheep),3,,flower abundance,fitness,se,0.046810456
285,Plant,Plants,,,,Producer,RS,2003,5,recently grazed,grazed,0,0,years of grazing (sheep),3,,root abundance,abundance,mean,0.530918273
285,Plant,Plants,,,,Producer,RS,2003,5,recently grazed,grazed,0,0,years of grazing (sheep),3,,root abundance,abundance,se,0.044507654
285,Plant,Plants,,,,Producer,UG,2003,5,ungrazed,ungrazed,NA,NA,years of grazing (cattle),0,,flower abundance,fitness,se,0.029824611
285,Plant,Plants,,,,Producer,UG,2003,5,ungrazed,ungrazed,NA,NA,years of grazing (cattle),0,,flower abundance,fitness,mean,0.336261303
285,Plant,Plants,,,,Producer,UG,2003,5,ungrazed,ungrazed,NA,NA,years of grazing (cattle),0,,root abundance,abundance,mean,0.539914885
285,Plant,Plants,,,,Producer,UG,2003,5,ungrazed,ungrazed,NA,NA,years of grazing (cattle),0,,root abundance,abundance,se,0.046117267
348,Plant,Plants,,,,Producer,Mid Yare RSPB Reserve,1998,18,grazed,grazed,0,0,livestock units per ha,0.65,,biomass (g / m2),abundance,mean,1503
348,Plant,Plants,,,,Producer,Mid Yare RSPB Reserve,1998,18,grazed,grazed,0,0,livestock units per ha,0.65,,biomass (g / m2),abundance,se,175
348,Plant,Plants,,,,Producer,Mid Yare RSPB Reserve,1998,18,ungrazed,ungrazed,2,2,livestock units per ha,0.65,,biomass (g / m2),abundance,mean,2602
348,Plant,Plants,,,,Producer,Mid Yare RSPB Reserve,1998,18,ungrazed,ungrazed,2,2,livestock units per ha,0.65,,biomass (g / m2),abundance,se,368
363,Plant,Plants,,,,Producer,spring 1,1998,16,ungrazed,ungrazed,15,15,,,,plant height (cm),abundance,se,2.6
363,Plant,Plants,,,,Producer,spring 1,1998,16,grazed,grazed,0,0,,,,plant height (cm),abundance,mean,8.8
363,Plant,Plants,,,,Producer,spring 1,1998,16,grazed,grazed,0,0,,,,plant height (cm),abundance,se,0.6
363,Plant,Plants,,,,Producer,spring 1,1998,16,ungrazed,ungrazed,15,15,,,,plant height (cm),abundance,mean,40
363,Plant,Plants,,,,Producer,spring 2,1998,16,grazed,grazed,0,0,,,,plant height (cm),abundance,mean,15.1
363,Plant,Plants,,,,Producer,spring 2,1998,16,grazed,grazed,0,0,,,,plant height (cm),abundance,se,1.2
363,Plant,Plants,,,,Producer,spring 2,1998,16,ungrazed,ungrazed,15,15,,,,plant height (cm),abundance,mean,42.7
363,Plant,Plants,,,,Producer,spring 2,1998,16,ungrazed,ungrazed,15,15,,,,plant height (cm),abundance,se,3.5
373,Plant,Plants,,,,Producer,multisite,2000,11,grazed,grazed,0,0,cattle per ha,6,,vegetation height (PCA value),omit,se,0.84
373,Plant,Plants,,,,Producer,multisite,2000,11,grazed,grazed,0,0,cattle per ha,6,,vegetation height (PCA value),omit,mean,-0.74
373,Plant,Plants,,,,Producer,multisite,2000,11,ungrazed,ungrazed,2,2,cattle per ha,0,,vegetation height (PCA value),omit,mean,0.74
373,Plant,Plants,,,,Producer,multisite,2000,11,ungrazed,ungrazed,2,2,cattle per ha,0,,vegetation height (PCA value),omit,se,0.07
374,Plant,Plants,Bryophyta,,,Producer,grazed,2003,9,grazed,grazed,0,0,frequency (per year),1,,percent cover,abundance,mean,13.6
374,Plant,Plants,Bryophyta,,,Producer,grazed,2003,9,grazed,grazed,0,0,frequency (per year),1,,percent cover,abundance,se,3.2
374,Plant,Plants,,,,Producer,grazed,2003,9,grazed,grazed,0,0,frequency (per year),1,native,percent cover,abundance,se,0.4
374,Plant,Plants,,,,Producer,grazed,2003,9,grazed,grazed,0,0,frequency (per year),1,native,percent cover,abundance,mean,1.5
374,Plant,Plants,,,,Producer,grazed,2003,9,grazed,grazed,0,0,frequency (per year),1,non-native,percent cover,abundance,se,2.6
374,Plant,Plants,,,,Producer,grazed,2003,9,grazed,grazed,0,0,frequency (per year),1,non-native,percent cover,abundance,mean,21.7
374,Plant,Plants,Bryophyta,,,Producer,native,2003,5,ungrazed,ungrazed,1,1,frequency (per year),0,,percent cover,abundance,se,2.2
374,Plant,Plants,Bryophyta,,,Producer,native,2003,5,ungrazed,ungrazed,1,1,frequency (per year),0,,percent cover,abundance,mean,32.8
374,Plant,Plants,,,,Producer,native,2003,5,ungrazed,ungrazed,1,1,frequency (per year),0,native,percent cover,abundance,mean,12.5
374,Plant,Plants,,,,Producer,native,2003,5,ungrazed,ungrazed,1,1,frequency (per year),0,non-native,percent cover,abundance,mean,5.8
374,Plant,Plants,,,,Producer,native,2003,5,ungrazed,ungrazed,1,1,frequency (per year),0,native,percent cover,abundance,se,2
374,Plant,Plants,,,,Producer,native,2003,5,ungrazed,ungrazed,1,1,frequency (per year),0,non-native,percent cover,abundance,se,1.7
397,Plant,Plants,,,,Producer,multisite,2009,34,ungrazed,ungrazed,19,19,,,,height (cm),abundance,se,1.5
397,Plant,Plants,,,,Producer,multisite,2009,34,ungrazed,ungrazed,19,19,,,,height (cm),abundance,mean,27.4
397,Plant,Plants,,,,Producer,multisite,2009,30,grazed,grazed,0,0,,,,height (cm),abundance,mean,9.6
397,Plant,Plants,,,,Producer,multisite,2009,30,grazed,grazed,0,0,,,,height (cm),abundance,se,1.7
402,Plant,Plants,,,,Producer,San Simon Valley,2002,8,ungrazed,ungrazed,44,44,,,,percent cover,abundance,se,2.8
402,Plant,Plants,,,,Producer,San Simon Valley,2002,8,grazed,grazed,0,0,,,,percent cover,abundance,se,2.5
402,Plant,Plants,,,,Producer,San Simon Valley,2002,8,grazed,grazed,0,0,,,,percent cover,abundance,mean,22.3
402,Plant,Plants,,,,Producer,San Simon Valley,2002,8,ungrazed,ungrazed,44,44,,,,percent cover,abundance,mean,30.2
403,Plant,Plants,,,,Producer,Fussing? Manor,2000,9,low sheep,low,0,0,animals per ha,4.5,,vegetation height (cm),abundance,mean,11.8
403,Plant,Plants,,,,Producer,Fussing? Manor,2000,9,ungrazed,ungrazed,3,3,animals per ha,0,,vegetation height (cm),abundance,se,8
403,Plant,Plants,,,,Producer,Fussing? Manor,2000,9,low sheep,low,0,0,animals per ha,4.5,,vegetation height (cm),abundance,se,6
403,Plant,Plants,,,,Producer,Fussing? Manor,2000,9,high cattle,gra,0,0,animals per ha,4.8,,vegetation height (cm),abundance,mean,7.5
403,Plant,Plants,,,,Producer,Fussing? Manor,2000,9,high cattle,gra,0,0,animals per ha,4.8,,vegetation height (cm),abundance,se,5.3
403,Plant,Plants,,,,Producer,Fussing? Manor,2000,9,ungrazed,ungrazed,3,3,animals per ha,0,,vegetation height (cm),abundance,mean,14.6
422,Plant,Plants,,,,Producer,,2000,12,ungrazed,ungrazed,41,41,,,,total cover (%),abundance,se,2.8
422,Plant,Plants,,,,Producer,,2000,12,ungrazed,ungrazed,41,41,,,,total cover (%),abundance,mean,30.1
422,Plant,Plants,,,,Producer,,2000,12,grazed,grazed,0,0,,,,total cover (%),abundance,se,2.34
422,Plant,Plants,,,,Producer,,2000,12,grazed,grazed,0,0,,,,total cover (%),abundance,mean,22.4
444,Plant,Plants,,,,Producer,grasslandsChihuahuanDesertRRC,1991,5,grazed,grazed,0,0,,,,percent cover,abundance,se,5.3
444,Plant,Plants,,,,Producer,grasslandsChihuahuanDesertRRC,1991,5,ungrazed,ungrazed,39,39,,,,percent cover,abundance,mean,49.2
444,Plant,Plants,,,,Producer,grasslandsChihuahuanDesertRRC,1991,5,grazed,grazed,0,0,,,,percent cover,abundance,mean,34.6
444,Plant,Plants,,,,Producer,grasslandsChihuahuanDesertRRC,1991,5,ungrazed,ungrazed,39,39,,,,percent cover,abundance,se,8.2
512,Fungi,AMF,Mycorrhiza,,,Producer,Yellowstone,2001,2,grazed ,grazed ,0,0,,,,spores/g soil,fitness,se,4.33
512,Fungi,AMF,Mycorrhiza,,,Producer,Yellowstone,2001,2,grazed ,grazed ,0,0,,,,spores/g soil,fitness,mean,24.9
512,Fungi,AMF,Mycorrhiza,,,Producer,Yellowstone,2001,2,ungrazed,ungrazed,40,40,,,,spores/g soil,fitness,mean,9.28
512,Fungi,AMF,Mycorrhiza,,,Producer,Yellowstone,2001,2,ungrazed,ungrazed,40,40,,,,spores/g soil,fitness,se,1.82
533,Plant,Plants,,,,Producer,Aberdeen,2009,5,grazed,grazed,0,0,cattle/ha,8.4,,number of flowers,fitness,se,847.59
533,Plant,Plants,,,,Producer,Aberdeen,2009,5,ungrazed,ungrazed,70,70,cattle/ha,0,,number of flowers,fitness,mean,3887.8
533,Plant,Plants,,,,Producer,Aberdeen,2009,5,ungrazed,ungrazed,70,70,cattle/ha,0,,number of flowers,fitness,se,1942.9
533,Plant,Plants,,,,Producer,Aberdeen,2009,5,grazed,grazed,0,0,cattle/ha,8.4,,number of flowers,fitness,mean,2628.2
533,Plant,Plants,,,,Producer,Aberdeen,2009,5,grazed,grazed,0,0,cattle/ha,8.4,,floral species richness,diversity,se,2.6
533,Plant,Plants,,,,Producer,Aberdeen,2009,5,ungrazed,ungrazed,70,70,cattle/ha,0,,floral species richness,diversity,mean,7
533,Plant,Plants,,,,Producer,Aberdeen,2009,5,ungrazed,ungrazed,70,70,cattle/ha,0,,floral species richness,diversity,se,1.2
533,Plant,Plants,,,,Producer,Aberdeen,2009,5,grazed,grazed,0,0,cattle/ha,8.4,,floral species richness,diversity,mean,14.8
562,Lichen,Lichen,,,,Producer,bryophyte dominated,,5,ungrazed,ungrazed,70,70,,,,biomass (g/m^2),abundance,mean,52
562,Lichen,Lichen,,,,Producer,bryophyte dominated,,5,ungrazed,ungrazed,70,70,,,,biomass (g/m^2),abundance,mean,51
562,Lichen,Lichen,,,,Producer,grazed,,14,grazed,grazed,,NA,,,,biomass (g/m^2),abundance,mean,35
562,Lichen,Lichen,,,,Producer,grazed,,14,grazed,grazed,,NA,,,,biomass (g/m^2),abundance,mean,58
562,Lichen,Lichen,,,,Producer,lichen dominated,,8,ungrazed,ungrazed,70,70,,,,biomass (g/m^2),abundance,mean,117
562,Lichen,Lichen,,,,Producer,lichen dominated,,8,ungrazed,ungrazed,70,70,,,,biomass (g/m^2),abundance,mean,541
562,Plant,Plants,Bryophyta,,,Producer,bryophyte dominated,,5,ungrazed,ungrazed,70,70,,,,biomass (g/m^2),abundance,se,25
562,Plant,Plants,Bryophyta,,,Producer,bryophyte dominated,,5,ungrazed,ungrazed,70,70,,,,biomass (g/m^2),abundance,se,15
562,Plant,Plants,Bryophyta,,,Producer,grazed,,14,grazed,grazed,,NA,,,,biomass (g/m^2),abundance,se,8
562,Plant,Plants,Bryophyta,,,Producer,grazed,,14,grazed,grazed,,NA,,,,biomass (g/m^2),abundance,se,6
562,Plant,Plants,Bryophyta,,,Producer,lichen dominated,,8,ungrazed,ungrazed,70,70,,,,biomass (g/m^2),abundance,se,3.6
562,Plant,Plants,Bryophyta,,,Producer,lichen dominated,,8,ungrazed,ungrazed,70,70,,,,biomass (g/m^2),abundance,se,2.3
618,Fungi,AMF,Mycorrhiza,,,Producer,Yellowstone,202,6,grazed,grazed,0,0,,,,Species richness/g soil,diversity,se,0.32
618,Fungi,AMF,Mycorrhiza,,,Producer,Yellowstone,202,6,grazed,grazed,0,0,,,,Species richness/g soil,diversity,mean,3.7
618,Fungi,AMF,Mycorrhiza,,,Producer,Yellowstone,202,6,ungrazed,ungrazed,51,51,,,,Species richness/g soil,diversity,se,0.42
618,Fungi,AMF,Mycorrhiza,,,Producer,Yellowstone,202,6,ungrazed,ungrazed,51,51,,,,Species richness/g soil,diversity,mean,4.1
618,Fungi,AMF,Mycorrhiza,,,Producer,Yellowstone,202,6,grazed,grazed,0,0,,,,Spore abundance/g soil,fitness,se,5.2
618,Fungi,AMF,Mycorrhiza,,,Producer,Yellowstone,202,6,ungrazed,ungrazed,51,51,,,,Spore abundance/g soil,fitness,se,6.9
618,Fungi,AMF,Mycorrhiza,,,Producer,Yellowstone,202,6,ungrazed,ungrazed,51,51,,,,Spore abundance/g soil,fitness,mean,34.3
618,Fungi,AMF,Mycorrhiza,,,Producer,Yellowstone,202,6,grazed,grazed,0,0,,,,Spore abundance/g soil,fitness,mean,24.29
740,Plant,Plants,Bryophyta,,,Producer,Setesdal,2000,10,grazed ,grazed ,0,0,sheep/km^2,30,,Species Richness/plot,diversity,mean,5.06
740,Plant,Plants,Bryophyta,,,Producer,Setesdal,2000,10,grazed ,grazed ,0,0,sheep/km^2,30,,Species Richness/plot,diversity,se,0.19
740,Plant,Plants,Bryophyta,,,Producer,Setesdal,2000,10,ungrazed,ungrazed,0.33,0.33,sheep/km^2,0,,Species Richness/plot,diversity,se,0.2
740,Plant,Plants,Bryophyta,,,Producer,Setesdal,2000,10,ungrazed,ungrazed,0.33,0.33,sheep/km^2,0,,Species Richness/plot,diversity,mean,5.66
740,Plant,Plants,Bryophyta,,,Producer,Setesdal,2004,10,grazed ,grazed ,0,0,sheep/km^2,30,,Species Richness/plot,diversity,mean,5.53
740,Plant,Plants,Bryophyta,,,Producer,Setesdal,2004,10,ungrazed,ungrazed,4,4,sheep/km^2,0,,Species Richness/plot,diversity,se,0.22
740,Plant,Plants,Bryophyta,,,Producer,Setesdal,2004,10,ungrazed,ungrazed,4,4,sheep/km^2,0,,Species Richness/plot,diversity,mean,6.3
740,Plant,Plants,Bryophyta,,,Producer,Setesdal,2004,10,grazed ,grazed ,0,0,sheep/km^2,30,,Species Richness/plot,diversity,se,0.23
