uniqueID,Title,Authors,Source Title,Publication Year,investigator,exclude,reason,grazer.spp,grazer.status,contrast,grazing.legacy,grazing.timeframe,lat,lon,elevation,country,n.sites,survey.technique,Plants,Soil.microbia,Annelida,Arthropoda,Amphibia,Reptilia,Aves,Mammalia
27,The boundaries of river systems: the metazoan perspective,"Ward, JV; Bretschko, G; Brunke, M; Danielopol, D; Gibert, J; Gonser, T; Hildrew, AG",FRESHWATER BIOLOGY,1998,,,,,,,,,,,,,,,,,,,,,,
28,GAP COLONIZATION AS A SOURCE OF GRASSLAND COMMUNITY CHANGE - EFFECTS OF GAP SIZE AND GRAZING ON THE RATE AND MODE OF COLONIZATION BY DIFFERENT SPECIES,"BULLOCK, JM; HILL, BC; SILVERTOWN, J; SUTTON, M",OIKOS,1995,,,,,,,,,,,,,,,,,,,,,,
29,MANAGING SPECIES-DIVERSITY IN TALLGRASS PRAIRIE - ASSUMPTIONS AND IMPLICATIONS,"HOWE, HF",CONSERVATION BIOLOGY,1994,,,,,,,,,,,,,,,,,,,,,,
30,CHANGES IN SPIDER (ARANEAE) ASSEMBLAGES IN RELATION TO SUCCESSION AND GRAZING MANAGEMENT,"GIBSON, CWD; HAMBLER, C; BROWN, VK",JOURNAL OF APPLIED ECOLOGY,1992,,,,,,,,,,,,,,,,,,,,,,
31,Livestock grazing: animal and plant biodiversity of shortgrass steppe and the relationship to ecosystem function,"Milchunas, DG; Lauenroth, WK; Burke, IC",OIKOS,1998,,,,,,,,,,,,,,,,,,,,,,
32,Root biomass and productivity in a grazing ecosystem: The Serengeti,"McNaughton, SJ; Banyikwa, FF; McNaughton, MM",ECOLOGY,1998,,,,,,,,,,,,,,,,,,,,,,
33,COMPETITION AND THE STRUCTURE OF A BENTHIC STREAM COMMUNITY,"KOHLER, SL",ECOLOGICAL MONOGRAPHS,1992,,,,,,,,,,,,,,,,,,,,,,
34,How open were European primeval forests? Hypothesis testing using palaeoecological data,"Mitchell, FJG",JOURNAL OF ECOLOGY,2005,,,,,,,,,,,,,,,,,,,,,,
35,Expansion of woody plants in tallgrass prairie: A fifteen-year study of fire and fire-grazing interactions,"Briggs, JM; Knapp, AK; Brock, BL",AMERICAN MIDLAND NATURALIST,2002,,,,,,,,,,,,,,,,,,,,,,
36,Consequences of succession on extensively grazed grasslands for central European butterfly communities: Rethinking conservation practices,"Balmer, O; Erhardt, A",CONSERVATION BIOLOGY,2000,,,,,,,,,,,,,,,,,,,,,,
37,Grazing effect on diversity of annual plant communities in a semi-arid rangeland: interactions with small-scale spatial and temporal variation in primary productivity,"Osem, Y; Perevolotsky, A; Kigel, J",JOURNAL OF ECOLOGY,2002,,,,,,,,,,,,,,,,,,,,,,
38,Top-down versus bottom-up control of autotrophic biomass - a meta-analysis on experiments with periphyton,"Hillebrand, H",JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,2002,,,,,,,,,,,,,,,,,,,,,,
39,Conservation value of remnant riparian forest corridors of varying quality for Amazonian birds and mammals,"Lees, Alexander C.; Peres, Carlos A.",CONSERVATION BIOLOGY,2008,,,,,,,,,,,,,,,,,,,,,,
40,Comparison of structural and functional approaches to determining landuse effects on grassland stream invertebrate communities,"Doledec, S; Phillips, N; Scarsbrook, M; Riley, RH; Townsend, CR",JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,2006,,,,,,,,,,,,,,,,,,,,,,
41,"A positive feedback: Herbivory, plant growth, salinity, and the desertification of an Arctic salt-marsh","Srivastava, DS; Jefferies, RL",JOURNAL OF ECOLOGY,1996,,,,,,,,,,,,,,,,,,,,,,
42,Soil seed bank composition along a gradient from dry alvar grassland to Juniperus shrubland,"Bakker, JP; Bakker, ES; Rosen, E; Verweij, GL; Bekker, RM",JOURNAL OF VEGETATION SCIENCE,1996,,,,,,,,,,,,,,,,,,,,,,
43,SOIL SEED BANK AFTER 18 YEARS OF SUCCESSION FROM GRASSLAND TO FOREST,"MILBERG, P",OIKOS,1995,,,,,,,,,,,,,,,,,,,,,,
44,EVIDENCE FOR THE PROMOTION OF ABOVEGROUND GRASSLAND PRODUCTION BY NATIVE LARGE HERBIVORES IN YELLOWSTONE-NATIONAL-PARK,"FRANK, DA; MCNAUGHTON, SJ",OECOLOGIA,1993,,,,,,,,,,,,,,,,,,,,,,
45,"Changes in soil properties and vegetation following exclosure and grazing in degraded Alxa desert steppe of Inner Mongolia, China","Pei, Shifang; Fu, Hua; Wan, Changgui",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2008,,,,,,,,,,,,,,,,,,,,,,
46,"RESPONSES OF BIRDS, RODENTS, AND VEGETATION TO LIVESTOCK EXCLOSURE IN A SEMIDESERT GRASSLAND SITE","BOCK, CE; BOCK, JH; KENNEY, WR; HAWTHORNE, VM",JOURNAL OF RANGE MANAGEMENT,1984,,,,,,,,,,,,,,,,,,,,,,
47,GROWTH-RATE IS NEGATIVELY CORRELATED WITH HATCH DATE IN BLACK BRANT,"SEDINGER, JS; FLINT, PL",ECOLOGY,1991,,,,,,,,,,,,,,,,,,,,,,
48,"Nurse plants, tree saplings and grazing pressure: changes in facilitation along a biotic environmental gradient","Smit, Christian; Vandenberghe, Charlotte; den Ouden, Jan; Mueller-Schaerer, Heinz",OECOLOGIA,2007,,,,,,,,,,,,,,,,,,,,,,
49,Determinants of soil CO2 flux from a sub-humid grassland: Effect of fire and fire history,"Knapp, AK; Conard, SL; Blair, JM",ECOLOGICAL APPLICATIONS,1998,,,,,,,,,,,,,,,,,,,,,,
50,SEEDLING HERBIVORY IN GRASSLAND - RELATIVE IMPACT OF VERTEBRATE AND INVERTEBRATE HERBIVORES,"HULME, PE",JOURNAL OF ECOLOGY,1994,,,,,,,,,,,,,,,,,,,,,,
51,"VEGETATION DYNAMICS, FIRE, AND THE PHYSICAL-ENVIRONMENT IN COASTAL CENTRAL CALIFORNIA","CALLAWAY, RM; DAVIS, FW",ECOLOGY,1993,,,,,,,,,,,,,,,,,,,,,,
52,Relationships between livestock management and the ecological condition of riparian habitats along an Australian floodplain river,"Jansen, A; Robertson, AI",JOURNAL OF APPLIED ECOLOGY,2001,,,,,,,,,,,,,,,,,,,,,,
53,"INTERACTIONS AMONG IRRADIANCE, NUTRIENTS, AND HERBIVORES CONSTRAIN A STREAM ALGAL COMMUNITY","ROSEMOND, AD",OECOLOGIA,1993,,,,,,,,,,,,,,,,,,,,,,
54,Cattle grazing impacts on annual forbs and vegetation composition of mesic grasslands in California,"Hayes, GF; Holl, KD",CONSERVATION BIOLOGY,2003,,,,,,,,,,,,,,,,,,,,,,
55,Impacts of ungulates on the demography and diversity of small mammals in central Kenya,"Keesing, F",OECOLOGIA,1998,,,,,,,,,,,,,,,,,,,,,,
56,Effects of summer grazing by caribou on composition and productivity of vegetation: Community and landscape level,"Manseau, M; Huot, J; Crete, M",JOURNAL OF ECOLOGY,1996,,,,,,,,,,,,,,,,,,,,,,
57,AN EXPERIMENTAL FIELD-STUDY OF THE EFFECTS OF MOLLUSK GRAZING ON SEEDLING RECRUITMENT AND SURVIVAL IN GRASSLAND,"HANLEY, ME; FENNER, M; EDWARDS, PJ",JOURNAL OF ECOLOGY,1995,,,,,,,,,,,,,,,,,,,,,,
58,"Effectiveness of exclosures to restore degraded soils as a result of overgrazing in Tigray, Ethiopia","Mekuria, Wolde; Veldkamp, E.; Halle, Mitiku; Nyssen, J.; Muys, B.; Gebrehiwota, Kindeya",JOURNAL OF ARID ENVIRONMENTS,2007,,,,,,,,,,,,,,,,,,,,,,
59,Consumer control of grassland plant production,"Frank, DA; Kuns, MM; Guido, DR",ECOLOGY,2002,,,,,,,,,,,,,,,,,,,,,,
60,THE EFFECTS OF AGRICULTURAL MANAGEMENT ON THE SOIL BIOTA OF SOME UPLAND GRASSLANDS,"BARDGETT, RD; FRANKLAND, JC; WHITTAKER, JB",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1993,,,,,,,,,,,,,,,,,,,,,,
61,Browsing and fire interact to suppress tree density in an African savanna,"Staver, A. Carla; Bond, William J.; Stock, William D.; van Rensburg, Sue J.; Waldram, Matthew S.",ECOLOGICAL APPLICATIONS,2009,,,,,,,,,,,,,,,,,,,,,,
62,Exotic grass competition in suppressing native shrubland re-establishment,"Eliason, SA; Allen, EB",RESTORATION ECOLOGY,1997,,,,,,,,,,,,,,,,,,,,,,
63,"Herbivores, seed banks and seedling recruitment in mesic grassland","Edwards, GR; Crawley, MJ",JOURNAL OF ECOLOGY,1999,,,,,,,,,,,,,,,,,,,,,,
64,"Long-term patterns in coastal California grasslands in relation to cultivation, gophers, and grazing","Stromberg, MR; Griffin, JR",ECOLOGICAL APPLICATIONS,1996,,,,,,,,,,,,,,,,,,,,,,
65,"MAXIMIZATION OF ABOVEGROUND GRASSLAND PRODUCTION - THE ROLE OF DEFOLIATION FREQUENCY, INTENSITY, AND HISTORY","TURNER, CL; SEASTEDT, TR; DYER, MI",ECOLOGICAL APPLICATIONS,1993,,,,,,,,,,,,,,,,,,,,,,
66,Exploring diversity in soil fertility management of smallholder farms in western Kenya - I. Heterogeneity at region and farm scale,"Tittonell, P; Vanlauwe, B; Leffelaar, PA; Rowe, EC; Giller, KE",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2005,,,,,,,,,,,,,,,,,,,,,,
67,Unpalatable plants protect neighbors from grazing and increase plant community diversity,"Callaway, RM; Kikodze, D; Chiboshvili, M; Khetsuriani, L",ECOLOGY,2005,,,,,,,,,,,,,,,,,,,,,,
68,Ecological heterogeneity in the effects of grazing and fire on grassland diversity,"Harrison, S; Inouye, BD; Safford, HD",CONSERVATION BIOLOGY,2003,,,,,,,,,,,,,,,,,,,,,,
69,Plant response to disturbance in a Mediterranean grassland: How many functional groups?,"Lavoral, S; McIntyre, S; Grigulis, K",JOURNAL OF VEGETATION SCIENCE,1999,,,,,,,,,,,,,,,,,,,,,,
70,GRAZER CONTROL OF ALGAE IN AN OZARK MOUNTAIN STREAM - EFFECTS OF SHORT-TERM EXCLUSION,"POWER, ME; STEWART, AJ; MATTHEWS, WJ",ECOLOGY,1988,,,,,,,,,,,,,,,,,,,,,,
71,Ungulate stimulation of nitrogen cycling and retention in Yellowstone Park grasslands,"Frank, DA; Groffman, PM; Evans, RD; Tracy, BF",OECOLOGIA,2000,,,,,,,,,,,,,,,,,,,,,,
72,Effects of livestock grazing on physical and chemical properties of sandy soils in Sahelian rangelands,"Hiernaux, P; Bielders, CL; Valentin, C; Bationo, A; Fernandez-Rivera, S",JOURNAL OF ARID ENVIRONMENTS,1999,,,,,,,,,,,,,,,,,,,,,,
73,"Competition and compensation among cattle, zebras, and elephants in a semi-arid savanna in Laikipia, Kenya","Young, TP; Palmer, TM; Gadd, ME",BIOLOGICAL CONSERVATION,2005,,,,,,,,,,,,,,,,,,,,,,
74,"Herbivores and the performance of grassland plants: A comparison of arthropod, mollusc and rodent herbivory","Hulme, PE",JOURNAL OF ECOLOGY,1996,,,,,,,,,,,,,,,,,,,,,,
75,Herbivore influence on soil microbial biomass and nitrogen mineralization in a northern grassland ecosystem: Yellowstone National Park,"Tracy, BF; Frank, DA",OECOLOGIA,1998,,,,,,,,,,,,,,,,,,,,,,
76,Evidence for two alternate stable states in an ungulate crazing system,"Augustine, DJ; Frelich, LE; Jordan, PA",ECOLOGICAL APPLICATIONS,1998,,,,,,,,,,,,,,,,,,,,,,
77,Slowing down a pine invasion despite uncertainty in demography and dispersal,"Buckley, YM; Brockerhoff, E; Langer, L; Ledgard, N; North, H; Rees, M",JOURNAL OF APPLIED ECOLOGY,2005,,,,,,,,,,,,,,,,,,,,,,
78,Comparison of species composition between different grassland management treatments after 25 years,"Moog, D; Poschlod, P; Kahmen, S; Schreiber, KF",APPLIED VEGETATION SCIENCE,2002,,,,,,,,,,,,,,,,,,,,,,
79,Shifts in positive and negative plant interactions along a grazing intensity gradient,"Graff, Pamela; Aguiar, Martin R.; Chaneton, Enrique J.",ECOLOGY,2007,,,,,,,,,,,,,,,,,,,,,,
80,Diet selection in goats: A test of intake-rate maximization,"Illius, AW; Gordon, IJ; Elston, DA; Milne, JD",ECOLOGY,1999,,,,,,,,,,,,,,,,,,,,,,
81,An 85-year study of saguaro (Carnegiea gigantea) demography,"Pierson, EA; Turner, RM",ECOLOGY,1998,,,,,,,,,,,,,,,,,,,,,,
82,Pathogen outbreaks reveal large-scale effects of competition in stream communities,"Kohler, SL; Wiley, MJ",ECOLOGY,1997,,,,,,,,,,,,,,,,,,,,,,
83,"Effects of grazing and topography on dust flux and deposition in the Xilingele grassland, Inner Mongolia","Hoffmann, C.; Funk, R.; Wieland, R.; Li, Y.; Sommer, M.",JOURNAL OF ARID ENVIRONMENTS,2008,,,,,,,,,,,,,,,,,,,,,,
84,The role of a spiny plant refuge in structuring grazed shortgrass steppe plant communities,"Rebollo, S; Milchunas, DG; Noy-Meir, I; Chapman, PL",OIKOS,2002,,,,,,,,,,,,,,,,,,,,,,
85,"Dynamics of Fremont cottonwood (Populus fremontii) and saltcedar (Tamarix chinensis) populations along the San Pedro River, Arizona","Stromberg, J",JOURNAL OF ARID ENVIRONMENTS,1998,,,,,,,,,,,,,,,,,,,,,,
86,"Grazing management impacts on vegetation, soil biota and soil chemical, physical and hydrological properties in tall grass prairie","Teague, W. R.; Dowhower, S. L.; Baker, S. A.; Haile, N.; DeLaune, P. B.; Conover, D. M.",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2011,,,,,,,,,,,,,,,,,,,,,,
87,GRAZING IMPACTS ON LITTER AND SOIL ORGANIC-MATTER IN MIXED PRAIRIE AND FESCUE GRASSLAND ECOSYSTEMS OF ALBERTA,"NAETH, MA; BAILEY, AW; PLUTH, DJ; CHANASYK, DS; HARDIN, RT",JOURNAL OF RANGE MANAGEMENT,1991,,,,,,,,,,,,,,,,,,,,,,
88,Woody plant establishment and spatial heterogeneity in grasslands,"Jurena, PN; Archer, S",ECOLOGY,2003,,,,,,,,,,,,,,,,,,,,,,
89,Neotropical tadpoles influence stream benthos: evidence for the ecological consequences of decline in amphibian populations,"Ranvestel, AW; Lips, KR; Pringle, CM; Whiles, MR; Bixby, RJ",FRESHWATER BIOLOGY,2004,,,,,,,,,,,,,,,,,,,,,,
90,INTERACTIVE EFFECTS OF FIRE AND GRAZING ON STRUCTURE AND DIVERSITY OF MEDITERRANEAN GRASSLANDS,"NOYMEIR, I",JOURNAL OF VEGETATION SCIENCE,1995,,,,,,,,,,,,,,,,,,,,,,
91,Spatial variability of soil properties affected by grazing intensity in Inner Mongolia grassland,"Zhao, Ying; Peth, Stephan; Krummelbein, Julia; Horn, Rainer; Wang, Zhongyan; Steffens, Markus; Hoffmann, Carsten; Peng, Xinhua",ECOLOGICAL MODELLING,2007,,,,,,,,,,,,,,,,,,,,,,
92,"Impacts of fine sediment addition to tussock, pasture, dairy and deer farming streams in New Zealand","Matthaei, Christoph D.; Weller, Florian; Kelly, David W.; Townsend, Colin R.",FRESHWATER BIOLOGY,2006,,,,,,,,,,,,,,,,,,,,,,
93,Effects of cattle grazing on diversity in ephemeral wetlands,"Marty, JT",CONSERVATION BIOLOGY,2005,,,,,,,,,,,,,,,,,,,,,,
94,THE IMPLICATIONS OF RED DEER GRAZING TO GROUND VEGETATION AND INVERTEBRATE COMMUNITIES OF SCOTTISH NATIVE PINEWOODS,"BAINES, D; SAGE, RB; BAINES, MM",JOURNAL OF APPLIED ECOLOGY,1994,,,,,,,,,,,,,,,,,,,,,,
95,"Grazers, browsers, and fire influence the extent and spatial pattern of tree cover in the Serengeti","Holdo, Ricardo M.; Holt, Robert D.; Fryxell, John M.",ECOLOGICAL APPLICATIONS,2009,,,,,,,,,,,,,,,,,,,,,,
96,Effect of vertebrate grazing on plant and insect community structure,"Rambo, JL; Faeth, SH",CONSERVATION BIOLOGY,1999,,,,,,,,,,,,,,,,,,,,,,
97,Importance of large and small mammalian herbivores for the plant community structure in the forest tundra ecotone,"Olofsson, J; Hulme, PE; Oksanen, L; Suominen, O",OIKOS,2004,,,,,,,,,,,,,,,,,,,,,,
98,The interplay of physical and biological factors in maintaining mid-shore and low-shore assemblages on rocky coasts in the north-west Mediterranean,"Benedetti-Cecchi, L; Bulleri, F; Cinelli, F",OECOLOGIA,2000,,,,,,,,,,,,,,,,,,,,,,
99,Mechanisms regulating abundance of submerged vegetation in shallow eutrophic lakes,"Weisner, SEB; Strand, JA; Sandsten, H",OECOLOGIA,1997,,,,,,,,,,,,,,,,,,,,,,
100,Bird communities of natural and modified habitats in Panama,"Petit, LJ; Petit, DR; Christian, DG; Powell, HDW",ECOGRAPHY,1999,,,,,,,,,,,,,,,,,,,,,,
101,Traditional Ecological Knowledge Trends in the Transition to a Market Economy: Empirical Study in the Donana Natural Areas,"Gomez-Baggethun, Erik; Mingorria, Sara; Reyes-Garcia, Victoria; Calvet, Laura; Montes, Carlos",CONSERVATION BIOLOGY,2010,,,,,,,,,,,,,,,,,,,,,,
102,"Interactive effects of ungulate herbivores, soil fertility, and variable rainfall on ecosystem processes in a semi-arid savanna","Augustine, David J.; McNaughton, Samuel J.",ECOSYSTEMS,2006,,,,,,,,,,,,,,,,,,,,,,
103,Eucalypt establishment in agricultural landscapes and implications for landscape-scale restoration,"Dorrough, J; Moxham, C",BIOLOGICAL CONSERVATION,2005,,,,,,,,,,,,,,,,,,,,,,
104,Site productivity and plant size explain the response of annual species to grazing exclusion in a Mediterranean semi-arid rangeland,"Osem, Y; Perevolotsky, A; Kigel, J",JOURNAL OF ECOLOGY,2004,,,,,,,,,,,,,,,,,,,,,,
105,"Long-term vegetation dynamics mediated by herbivores, weather and fire in a Juniperus-Quercus savanna","Fuhlendorf, SD; Smeins, FE",JOURNAL OF VEGETATION SCIENCE,1997,,,,,,,,,,,,,,,,,,,,,,
106,The effect and extent of heavy grazing by reindeer in oligotrophic pine heaths in northeastern Fennoscandia,"Vare, H; Ohtonen, R; Mikkola, K",ECOGRAPHY,1996,,,,,,,,,,,,,,,,,,,,,,
107,The effect of different fire regimes on plant diversity in southern African grasslands,"Uys, RG; Bond, WJ; Everson, TM",BIOLOGICAL CONSERVATION,2004,,,,,,,,,,,,,,,,,,,,,,
108,Ecological anachronisms in the recruitment of temperate light-demanding tree species in wooded pastures,"Bakker, ES; Olff, H; Vandenberghe, C; De Maeyer, K; Smit, R; Gleichman, JM; Vera, FWM",JOURNAL OF APPLIED ECOLOGY,2004,,,,,,,,,,,,,,,,,,,,,,
109,THE EFFECTS OF GRAZING MANAGEMENT ON THE VEGETATION OF MESOTROPHIC (MEADOW) GRASSLAND IN NORTHERN ENGLAND,"SMITH, RS; RUSHTON, SP",JOURNAL OF APPLIED ECOLOGY,1994,,,,,,,,,,,,,,,,,,,,,,
110,Measured and modelled estimates of nitrous oxide emission and methane consumption from a sheep-grazed pasture,"Saggar, S.; Hedley, C. B.; Giltrap, D. L.; Lambie, S. M.",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2007,,,,,,,,,,,,,,,,,,,,,,
111,"Responses of vertebrates to pastoralism, military land use and landscape position in an Australian tropical savanna","Woinarski, JCZ; Ash, AJ",AUSTRAL ECOLOGY,2002,,,,,,,,,,,,,,,,,,,,,,
112,"Natural variability in forests of the Grand Canyon, USA","Fule, PZ; Covington, WW; Moore, MM; Heinlein, TA; Waltz, AEM",JOURNAL OF BIOGEOGRAPHY,2002,,,,,,,,,,,,,,,,,,,,,,
113,Effects of long-term ungulate exclusion and recent alien species control on the preservation and restoration of a Hawaiian tropical dry forest,"Cabin, RJ; Weller, SG; Lorence, DH; Flynn, TW; Sakai, AK; Sandquist, D; Hadway, LJ",CONSERVATION BIOLOGY,2000,,,,,,,,,,,,,,,,,,,,,,
114,"Wildlife survival beyond park boundaries: the impact of slash-and-burn agriculture and hunting on mammals in Tambopata, Peru","Naughton-Treves, L; Mena, JL; Treves, A; Alvarez, N; Radeloff, VC",CONSERVATION BIOLOGY,2003,,,,,,,,,,,,,,,,,,,,,,
115,"The effects of varied grazing management on epigeal spiders, harvestmen and pseudoscorpions of Nardus stricta grassland in upland Scotland","Dennis, P; Young, MR; Bentley, C",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2001,,,,,,,,,,,,,,,,,,,,,,
116,"A SIMULATION-MODEL FOR A SHRUB ECOSYSTEM IN THE SEMIARID KAROO, SOUTH-AFRICA","WIEGAND, T; MILTON, SJ; WISSEL, C",ECOLOGY,1995,,,,,,,,,,,,,,,,,,,,,,
117,PRODUCTIVITY OF LONG-TERM GRAZING TREATMENTS IN RESPONSE TO SEASONAL PRECIPITATION,"MILCHUNAS, DG; FORWOOD, JR; LAUENROTH, WK",JOURNAL OF RANGE MANAGEMENT,1994,,,,,,,,,,,,,,,,,,,,,,
