uniqueID,siteID,year,replicate,grazing.compare,last.grazed,grazing.estimate,grazing.value,Taxa,Genus,Species,Status,Estimate,Stat,Value,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Ctenotus,regius,,abundance,se,0.428571429,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Ctenotus,schomburgkii,,abundance,mean,0.428571429,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Ctenotus,schomburgkii,,abundance,se,0.297380857,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Ctenotus,schomburgkii,,abundance,mean,0.428571429,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Ctenotus,schomburgkii,,abundance,se,0.297380857,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Demansia,psammophis,,abundance,mean,0.142857143,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Demansia,psammophis,,abundance,se,0.142857143,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Demansia,psammophis,,abundance,mean,0.142857143,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Demansia,psammophis,,abundance,se,0.142857143,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Diplodactylus,damaeus,,abundance,mean,0.285714286,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Diplodactylus,damaeus,,abundance,se,0.184427778,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Diplodactylus,damaeus,,abundance,mean,0,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Diplodactylus,damaeus,,abundance,se,0,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Diplodactylus,vittatus,,abundance,mean,0.428571429,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Diplodactylus,vittatus,,abundance,se,0.202030509,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Diplodactylus,vittatus,,abundance,mean,0.571428571,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Diplodactylus,vittatus,,abundance,se,0.297380857,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Gehyra,variegata,,abundance,mean,1.571428571,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Gehyra,variegata,,abundance,se,0.751415897,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Gehyra,variegata,,abundance,mean,1.571428571,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Gehyra,variegata,,abundance,se,0.571428571,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Heteronotia,binoei,,abundance,mean,0,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Heteronotia,binoei,,abundance,se,0,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Heteronotia,binoei,,abundance,mean,0.428571429,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Heteronotia,binoei,,abundance,se,0.297380857,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Lerista,muelleri,,abundance,mean,1.285714286,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Lerista,muelleri,,abundance,se,0.473803541,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Lerista,muelleri,,abundance,mean,2.428571429,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Lerista,muelleri,,abundance,se,0.751415897,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Lerista,punctatovittata,,abundance,mean,0.285714286,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Lerista,punctatovittata,,abundance,se,0.285714286,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Lerista,punctatovittata,,abundance,mean,0.714285714,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Lerista,punctatovittata,,abundance,se,0.184427778,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Menetia,greyii,,abundance,mean,0,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Menetia,greyii,,abundance,se,0,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Menetia,greyii,,abundance,mean,0.285714286,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Menetia,greyii,,abundance,se,0.184427778,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Parasuta,nigriceps,,abundance,mean,0.142857143,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Parasuta,nigriceps,,abundance,se,0.142857143,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Parasuta,nigriceps,,abundance,mean,0.285714286,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Parasuta,nigriceps,,abundance,se,0.184427778,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Pogona,vitticeps,,abundance,mean,0.428571429,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Pogona,vitticeps,,abundance,se,0.202030509,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Pogona,vitticeps,,abundance,mean,0.571428571,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Pogona,vitticeps,,abundance,se,0.202030509,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Pygopus,schraderi,,abundance,mean,0.142857143,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Pygopus,schraderi,,abundance,se,0.142857143,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Pygopus,schraderi,,abundance,mean,0,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Pygopus,schraderi,,abundance,se,0,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Rhynchoedura,ornata,,abundance,mean,5.714285714,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Rhynchoedura,ornata,,abundance,se,1.209373819,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Rhynchoedura,ornata,,abundance,mean,7.142857143,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Rhynchoedura,ornata,,abundance,se,1.595060402,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Tiliqua,rugosa,,abundance,mean,0,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Tiliqua,rugosa,,abundance,se,0,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Tiliqua,rugosa,,abundance,mean,0.142857143,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Tiliqua,rugosa,,abundance,se,0.142857143,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Underwoodisaurus,milii,,abundance,mean,0.428571429,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Underwoodisaurus,milii,,abundance,se,0.297380857,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Underwoodisaurus,milii,,abundance,mean,0.142857143,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Underwoodisaurus,milii,,abundance,se,0.142857143,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Varanus,gouldii,,abundance,mean,0,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Varanus,gouldii,,abundance,se,0,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Varanus,gouldii,,abundance,mean,0.142857143,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Varanus,gouldii,,abundance,se,0.142857143,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Vermicella,annulata,,abundance,mean,0.142857143,,
929,,2005,7,grazed,0,ha/drysheepequivalent,6,Reptile,Vermicella,annulata,,abundance,se,0.142857143,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Vermicella,annulata,,abundance,mean,0,,
929,,2005,7,ungrazed,28,ha/drysheepequivalent,6,Reptile,Vermicella,annulata,,abundance,se,0,,
929,,2005,14,grazed,0,ha/drysheepequivalent,6,Plants,,,,species richness,mean,18,,
929,,2005,14,grazed,0,ha/drysheepequivalent,6,Plants,,,,species richness,se,0.95,,
929,,2005,14,ungrazed,28,ha/drysheepequivalent,6,Plants,,,,species richness,mean,19.1,,
929,,2005,14,ungrazed,28,ha/drysheepequivalent,6,Plants,,,,species richness,se,1.15,,
929,,2005,14,grazed,0,ha/drysheepequivalent,6,Plants,,,,cover,mean,56.1,,
929,,2005,14,grazed,0,ha/drysheepequivalent,6,Plants,,,,cover,se,9.2,,
929,,2005,14,ungrazed,28,ha/drysheepequivalent,6,Plants,,,,cover,mean,37.6,,
929,,2005,14,ungrazed,28,ha/drysheepequivalent,6,Plants,,,,cover,se,3.2,,
