uniqueID,siteID,year,replicate,grazing.compare,last.grazed,grazing.estimate,grazing.value,Taxa,Genus,Species,Status,Estimate,Stat,Value,Finest Taxonomic Rank
2779,,2008-2010,summer,gradient,,distance from water source (m),290,Mammalia,,,,Shannon Diversity,mean,0.162857143,
2779,,2008-2010,summer,gradient,,distance from water source (m),400,Mammalia,,,,Shannon Diversity,mean,0.334285714,
2779,,2008-2010,summer,gradient,,distance from water source (m),600,Mammalia,,,,Shannon Diversity,mean,0.14,
2779,,2008-2010,summer,gradient,,distance from water source (m),850,Mammalia,,,,Shannon Diversity,mean,0.5,
2779,,2008-2010,summer,gradient,,distance from water source (m),1200,Mammalia,,,,Shannon Diversity,mean,0.477142857,
2779,,2008-2010,summer,gradient,,distance from water source (m),1800,Mammalia,,,,Shannon Diversity,mean,0.421666667,
2779,,2008-2010,summer,gradient,,distance from water source (m),2400,Mammalia,,,,Shannon Diversity,mean,0.411666667,
2779,,2008-2010,summer,gradient,,distance from water source (m),3200,Mammalia,,,,Shannon Diversity,mean,0.6475,
2779,,2008-2010,winter,gradient,,distance from water source (m),100,Mammalia,,,,Shannon Diversity,mean,0,
2779,,2008-2010,winter,gradient,,distance from water source (m),180,Mammalia,,,,Shannon Diversity,mean,0,
2779,,2008-2010,winter,gradient,,distance from water source (m),290,Mammalia,,,,Shannon Diversity,mean,0,
2779,,2008-2010,winter,gradient,,distance from water source (m),400,Mammalia,,,,Shannon Diversity,mean,0.288571429,
2779,,2008-2010,winter,gradient,,distance from water source (m),600,Mammalia,,,,Shannon Diversity,mean,0.197142857,
2779,,2008-2010,winter,gradient,,distance from water source (m),850,Mammalia,,,,Shannon Diversity,mean,0.421428571,
2779,,2008-2010,winter,gradient,,distance from water source (m),1200,Mammalia,,,,Shannon Diversity,mean,0.452857143,
2779,,2008-2010,winter,gradient,,distance from water source (m),1800,Mammalia,,,,Shannon Diversity,mean,0.548333333,
2779,,2008-2010,winter,gradient,,distance from water source (m),2400,Mammalia,,,,Shannon Diversity,mean,0.601666667,
2779,,2008-2010,winter,gradient,,distance from water source (m),3200,Mammalia,,,,Shannon Diversity,mean,0.5975,
2779,,2008-2010,summer,gradient,,distance from water source (m),100,Arthropoda,,,,Shannon Diversity,mean,0.725714286,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),180,Arthropoda,,,,Shannon Diversity,mean,0.851428571,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),290,Arthropoda,,,,Shannon Diversity,mean,0.882857143,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),400,Arthropoda,,,,Shannon Diversity,mean,0.945714286,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),600,Arthropoda,,,,Shannon Diversity,mean,0.915714286,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),850,Arthropoda,,,,Shannon Diversity,mean,1.052857143,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),1200,Arthropoda,,,,Shannon Diversity,mean,1.008571429,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),1800,Arthropoda,,,,Shannon Diversity,mean,1.08,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),2400,Arthropoda,,,,Shannon Diversity,mean,1.145,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),3200,Arthropoda,,,,Shannon Diversity,mean,1.1175,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),100,Arthropoda,,,,Shannon Diversity,mean,0.635714286,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),180,Arthropoda,,,,Shannon Diversity,mean,0.438571429,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),290,Arthropoda,,,,Shannon Diversity,mean,0.627142857,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),400,Arthropoda,,,,Shannon Diversity,mean,0.635714286,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),600,Arthropoda,,,,Shannon Diversity,mean,0.762857143,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),850,Arthropoda,,,,Shannon Diversity,mean,0.781428571,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),1200,Arthropoda,,,,Shannon Diversity,mean,0.688571429,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),1800,Arthropoda,,,,Shannon Diversity,mean,0.8,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),2400,Arthropoda,,,,Shannon Diversity,mean,0.741666667,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),3200,Arthropoda,,,,Shannon Diversity,mean,0.8625,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),100,Plantae,,,,Shannon Diversity,N,7,
2779,,2008-2010,summer,gradient,,distance from water source (m),180,Plantae,,,,Shannon Diversity,N,7,
2779,,2008-2010,summer,gradient,,distance from water source (m),290,Plantae,,,,Shannon Diversity,N,7,
2779,,2008-2010,summer,gradient,,distance from water source (m),400,Plantae,,,,Shannon Diversity,N,7,
2779,,2008-2010,summer,gradient,,distance from water source (m),600,Plantae,,,,Shannon Diversity,N,7,
2779,,2008-2010,summer,gradient,,distance from water source (m),850,Plantae,,,,Shannon Diversity,N,7,
2779,,2008-2010,summer,gradient,,distance from water source (m),1200,Plantae,,,,Shannon Diversity,N,7,
2779,,2008-2010,summer,gradient,,distance from water source (m),1800,Plantae,,,,Shannon Diversity,N,6,
2779,,2008-2010,summer,gradient,,distance from water source (m),2400,Plantae,,,,Shannon Diversity,N,6,
2779,,2008-2010,summer,gradient,,distance from water source (m),3200,Plantae,,,,Shannon Diversity,N,4,
