uniqueID,siteID,year,replicate,grazing.compare,last.grazed,grazing.estimate,grazing.value,Taxa,Genus,Species,Status,Estimate,Stat,Value,
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Trechus,obtusus,,proportion of sites,count,9,0.321
239,Scotland Moorlands,1993,28,grazed,,,,Coleoptera,Trichocellus,cognatus,,proportion of sites,count,6,0.214
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Agonum,ericeti,,proportion of sites,count,1,0.036
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Agonum,sexpunctatum,,proportion of sites,count,2,0.071
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Arnara,aenea,,proportion of sites,count,1,0.036
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Arnara,lunicollis,,proportion of sites,count,1,0.036
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Amara,sp.,,proportion of sites,count,0,0
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Bradycellus,collaris,,proportion of sites,count,0,0
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Bradycellus,ruficollis,,proportion of sites,count,0,0
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Calathus,erratus,,proportion of sites,count,0,0
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Calathus,fuscipes,,proportion of sites,count,4,0.143
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Calathus,melanocephalus,,proportion of sites,count,11,0.393
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Calathus,micropterus,,proportion of sites,count,12,0.429
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Carabus,arvensis,,proportion of sites,count,5,0.179
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Carabus,glabratus,,proportion of sites,count,12,0.429
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Carabus,nemoralis,,proportion of sites,count,5,0.179
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Carabus,problematicus,,proportion of sites,count,12,0.429
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Carabus,violaceus,,proportion of sites,count,12,0.429
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Cychrus,caraboides,,proportion of sites,count,7,0.25
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Cyminidis,vaporariorum,,proportion of sites,count,9,0.321
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Elaphrus,lapponicus,,proportion of sites,count,3,0.107
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Elaphrus,uliginosus,,proportion of sites,count,1,0.036
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Harplaus,aeneus,,proportion of sites,count,1,0.036
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Harplaus,latus,,proportion of sites,count,7,0.25
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Harplaus,quadripunctatus,,proportion of sites,count,4,0.143
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Leistus,ferrugineus,,proportion of sites,count,3,0.107
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Leistus,rufescens,,proportion of sites,count,11,0.393
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Loricera,pilicornis,,proportion of sites,count,3,0.107
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Miscodera,arctica,,proportion of sites,count,4,0.143
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Nebria,brevicollis,,proportion of sites,count,3,0.107
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Nebria,salina,,proportion of sites,count,4,0.143
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Notiophilus,aquaticus,,proportion of sites,count,7,0.25
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Notiophilus,biguttatus,,proportion of sites,count,4,0.143
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Notiophilus,germinyi,,proportion of sites,count,5,0.179
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Olisthopus,rotundatus,,proportion of sites,count,2,0.071
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Patrobus,assimilis,,proportion of sites,count,10,0.357
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Pterostichus,adstrictus,,proportion of sites,count,6,0.214
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Pterostichus,diligens,,proportion of sites,count,5,0.179
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Pterostichus,madidus,,proportion of sites,count,12,0.429
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Pterostichus,melanarius,,proportion of sites,count,5,0.179
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,P.niger,(Schaller),,proportion of sites,count,7,0.25
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,P.niger,nigrita,,proportion of sites,count,4,0.143
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Trechus,obtusus,,proportion of sites,count,9,0.321
239,Scotland Moorlands,1993,28,ungrazed,,,,Coleoptera,Trichocellus,cognatus,,proportion of sites,count,9,0.321
